filename;timestamp;sum_sent-Gbps;sum_received-Gbps;sum-sent-retranmits;cpu-host_total;cpu-remote_total;cpu-remote_user;cpu-remote_system;max_snd_cwnd;max_rtt;min_rtt;mean_rtt
01_20cm-front-to-front.json;Fri, 24 Nov 2017 13:43:35 GMT;0.2626;0.2625;46;6.72;8.71;0.27;8.44;1976520;742784;1415;123870
02_20cm-front-to-front.json;Fri, 24 Nov 2017 13:49:53 GMT;0.7281;0.7280;111;17.50;23.13;0.64;22.49;1986656;899221;1410;89135
03_60cm-front-to-front.json;Fri, 24 Nov 2017 14:16:21 GMT;1.8118;1.8118;361;39.87;53.63;1.41;52.23;1634792;30222;1231;3172
04_10cm-front-to-front.json;Fri, 24 Nov 2017 14:24:05 GMT;1.7697;1.7696;340;39.17;39.02;0.99;38.03;1636240;6035;1260;2829
05_0cm-front-to-front.json;Fri, 24 Nov 2017 14:29:13 GMT;1.4513;1.4512;332;33.49;54.47;1.33;53.14;1825928;4668;1233;1821
06_20cm-parallel.json;Thu, 30 Nov 2017 09:57:42 GMT;1.5643;1.5642;80;34.99;9.98;0.25;9.73;1999688;6876;1252;2817
07_0cm-parallel.json;Thu, 30 Nov 2017 10:02:58 GMT;1.5386;1.5385;16;34.43;55.12;1.41;53.71;1953352;6428;1293;2642
08_40cm-parallel.json;Thu, 30 Nov 2017 10:09:13 GMT;1.5418;1.5417;216;34.76;46.47;1.30;45.17;1998240;6051;1251;2194
09_100cm-parallel.json;Thu, 30 Nov 2017 10:21:28 GMT;0.9234;0.9233;0;21.75;20.25;0.73;19.52;1980864;6570;1326;2954
10_200cm-parallel.json;Thu, 30 Nov 2017 10:26:30 GMT;1.5488;1.5487;16;35.00;57.80;1.50;56.30;1993896;6857;1229;2393
11_200cm-front-to-front.json;Thu, 30 Nov 2017 10:32:48 GMT;1.7890;1.7889;275;39.86;49.52;1.33;48.20;1983760;7907;1267;3603
12_100cm-front-to-front.json;Thu, 30 Nov 2017 10:47:15 GMT;1.8719;1.8718;106;41.46;52.77;1.45;51.31;2880072;12345;1393;4900
13_50cm-front-to-front.json;Thu, 30 Nov 2017 10:52:09 GMT;1.8829;1.8828;117;41.66;65.27;1.87;63.40;2231368;7162;1289;3306
14_20cm-front-to-front.json;Thu, 30 Nov 2017 11:04:52 GMT;1.6295;1.6294;93;37.47;22.92;0.62;22.30;1989552;45468;1572;7351
15_10cm-front-to-front.json;Thu, 30 Nov 2017 11:22:24 GMT;1.4672;1.4671;16;33.89;-191.00;0.46;15.14;1930184;12165;1404;4849
16_10cm-back-to-back.json;Thu, 30 Nov 2017 11:30:56 GMT;1.5434;1.5433;81;34.46;0.00;0.96;33.03;2032992;9404;1330;2421
17_100cm-back-to-back.json;Thu, 30 Nov 2017 11:35:41 GMT;1.4104;1.4103;83;32.04;0.00;1.72;56.78;2255984;5934;1342;2638
18_200cm-back-to-back.json;Thu, 30 Nov 2017 11:45:56 GMT;0.8375;0.8374;33;19.99;0.00;0.69;21.30;2240056;7414;1953;3068
19_500cm-front-to-front.json;Thu, 30 Nov 2017 12:04:03 GMT;1.5620;1.5619;47;34.87;0.00;0.45;15.78;2418160;7077;1260;2251
20_300cm-front-to-front.json;Thu, 30 Nov 2017 12:09:38 GMT;1.7970;1.7970;35;40.44;0.00;1.52;54.40;1967832;7866;1353;3393
21_300cm-back-to-back.json;Thu, 30 Nov 2017 12:15:50 GMT;1.1815;1.1814;56;27.79;0.00;1.15;41.09;1975072;4878;1434;2362
22_500cm-back-to-back.json;Thu, 30 Nov 2017 12:22:51 GMT;1.5231;1.5230;112;34.67;0.00;1.19;39.97;1960592;10233;1264;2254
23_300cm-front-to-front.json;Thu, 30 Nov 2017 12:35:40 GMT;1.6595;1.6594;32;37.27;0.00;0.69;22.75;1953352;6543;1334;2851
24_300cm-front-to-front-human-in-between.json;Thu, 30 Nov 2017 12:40:37 GMT;1.2488;1.2487;291;29.29;0.00;1.49;51.64;2759888;6402;1284;2247
25_300cm-front-to-front-board-in-between.json;Thu, 30 Nov 2017 12:48:05 GMT;1.1232;1.1231;140;26.44;0.00;0.96;33.11;2043128;6074;1528;2644
26_500cm-front-to-front-board-in-between.json;Thu, 30 Nov 2017 12:53:08 GMT;1.4224;1.4223;48;32.67;0.00;1.41;53.90;2144488;8388;1307;3033
27_100cm-front-to-front-board-in-between.json;Thu, 30 Nov 2017 12:59:12 GMT;0.8959;0.8958;98;21.55;0.00;1.20;36.55;2172000;6785;1787;3053
28_40cm-front-to-front-board-in-between.json;Thu, 30 Nov 2017 13:04:54 GMT;0.6596;0.6595;0;16.30;0.00;1.45;35.93;1964936;9657;2098;3523
29_100cm-parallel.json;Thu, 30 Nov 2017 13:14:18 GMT;0.6988;0.6987;21;17.35;0.00;0.89;21.27;2762784;8093;1861;3336
30_100cm-parallel-facing-wall.json;Thu, 30 Nov 2017 13:18:59 GMT;1.5346;1.5345;43;34.49;0.00;1.60;60.62;1925840;5389;1297;1882
